id,name,decile_score,priors_count,c_charge_degree,juv_fel_count,family_criminality,criminal_attitude,criminal_associates,financial_problems,substance_abuse,noncompliance,social_environment,vocational,decile_score_level,priors_count_level,c_charge_degree_level,juv_fel_count_level,family_criminality_level,criminal_attitude_level,criminal_associates_level,financial_problems_level,substance_abuse_level,noncompliance_level,social_environment_level,vocational_level,priors_count_importance,c_charge_degree_importance,juv_fel_count_importance,family_criminality_importance,criminal_attitude_importance,criminal_associates_importance,financial_problems_importance,substance_abuse_importance,noncompliance_importance,social_environment_importance,vocational_importance,priors_count_importance_scaled,c_charge_degree_importance_scaled,juv_fel_count_importance_scaled,family_criminality_importance_scaled,criminal_attitude_importance_scaled,criminal_associates_importance_scaled,financial_problems_importance_scaled,substance_abuse_importance_scaled,noncompliance_importance_scaled,social_environment_importance_scaled,vocational_importance_scaled,priors_count_importance_level,c_charge_degree_importance_level,juv_fel_count_importance_level,family_criminality_importance_level,criminal_attitude_importance_level,criminal_associates_importance_level,financial_problems_importance_level,substance_abuse_importance_level,noncompliance_importance_level,social_environment_importance_level,vocational_importance_level
8406,kevin bass,8,5,F,0,5,5,6,8,8,6,6,8,high,medium,high,low,medium,medium,high,high,high,high,high,high,0.007,0.001,-0.0,0.0,0.0,0.048,0.032,0.124,0.144,-0.001,0.032,0.052,0.004,0.0,0.0,0.0,0.335,0.22,0.864,1.0,0.009,0.221,low,low,low,low,low,medium,low,high,high,low,low
8473,joanne evans,7,0,M,0,3,5,6,8,6,7,7,6,high,low,low,low,low,medium,high,high,high,high,high,high,-0.014,-0.001,-0.0,-0.0,0.0,0.049,0.036,0.082,0.159,-0.002,0.021,0.088,0.006,0.0,0.0,0.0,0.307,0.227,0.514,1.0,0.011,0.131,low,low,low,low,low,low,low,medium,high,low,low
8518,andy kercivil,10,1,F,0,7,6,10,6,7,5,2,7,high,low,high,low,high,high,high,high,high,medium,low,high,-0.011,0.004,-0.0,0.0,0.0,0.19,0.021,0.146,-0.107,0.006,0.026,0.059,0.023,0.0,0.0,0.0,1.0,0.111,0.765,0.563,0.032,0.136,low,low,low,low,low,high,low,high,medium,low,low
8520,alain williams,6,6,F,0,6,3,5,4,6,6,1,4,high,high,high,low,high,low,medium,medium,high,high,low,medium,0.012,0.0,-0.0,0.0,0.0,-0.014,-0.035,0.081,0.141,0.003,-0.035,0.083,0.001,0.0,0.0,0.0,0.101,0.245,0.572,1.0,0.023,0.251,low,low,low,low,low,low,low,medium,high,low,low
8613,anthony gonzalez,2,2,M,0,2,1,5,4,5,2,6,8,low,low,low,low,low,low,medium,medium,medium,low,high,high,-0.015,-0.001,-0.0,0.0,-0.0,0.017,-0.016,-0.022,-0.132,-0.006,0.031,0.11,0.005,0.0,0.0,0.0,0.13,0.12,0.165,1.0,0.043,0.237,low,low,low,low,low,low,low,low,high,low,low
8726,raisha orellano-barrios,4,1,F,0,6,4,4,4,5,4,6,5,medium,low,high,low,high,medium,medium,medium,medium,medium,high,medium,-0.022,0.0,-0.0,0.0,0.0,-0.054,-0.016,-0.019,-0.101,-0.008,-0.003,0.215,0.002,0.0,0.0,0.0,0.533,0.154,0.185,1.0,0.075,0.029,low,low,low,low,low,medium,low,low,high,low,low
8802,shawanna kelly,8,5,M,0,3,6,7,7,7,6,6,8,high,medium,low,low,low,high,high,high,high,high,high,high,0.008,-0.001,-0.0,-0.0,0.0,0.065,0.035,0.104,0.151,-0.001,0.031,0.055,0.009,0.0,0.0,0.0,0.432,0.234,0.69,1.0,0.008,0.205,low,low,low,low,low,medium,low,high,high,low,low
8812,steven vigo,3,3,F,0,7,4,5,5,1,5,4,5,low,low,high,low,high,medium,medium,medium,low,medium,medium,medium,-0.009,0.0,-0.0,0.0,0.0,0.008,-0.007,-0.103,-0.088,0.013,-0.007,0.086,0.002,0.0,0.0,0.0,0.074,0.068,1.0,0.848,0.122,0.067,low,low,low,low,low,low,low,high,high,low,low
9097,terrance rogers,6,6,F,0,5,5,5,8,6,4,5,7,high,high,high,low,medium,medium,medium,high,high,medium,medium,high,0.036,0.001,-0.0,-0.0,0.0,-0.017,0.023,0.111,-0.136,-0.001,0.023,0.263,0.004,0.0,0.0,0.0,0.122,0.172,0.811,1.0,0.008,0.169,low,low,low,low,low,low,low,high,high,low,low
9172,lorenzo mckinney,7,0,F,0,7,1,7,8,6,6,2,6,high,low,high,low,high,low,high,high,high,high,low,high,-0.011,0.001,-0.0,0.0,-0.0,0.066,0.038,0.089,0.147,0.003,0.02,0.076,0.004,0.0,0.0,0.0,0.45,0.255,0.605,1.0,0.023,0.137,low,low,low,low,low,medium,low,medium,high,low,low
9366,mimmose nicolas,1,0,M,0,4,3,1,6,3,2,7,6,low,low,low,low,medium,low,low,high,low,low,high,high,-0.016,-0.0,-0.0,-0.0,0.0,-0.063,0.01,-0.109,-0.146,-0.011,0.006,0.109,0.003,0.0,0.0,0.0,0.429,0.067,0.745,1.0,0.072,0.044,low,low,low,low,low,medium,low,high,high,low,low
9450,kasha matthews,7,0,F,0,2,6,8,5,7,5,1,7,high,low,high,low,low,high,high,medium,high,medium,low,high,-0.012,0.004,-0.0,0.0,0.0,0.18,-0.01,0.145,-0.109,0.006,0.026,0.069,0.023,0.001,0.0,0.0,1.0,0.053,0.805,0.603,0.034,0.143,low,low,low,low,low,high,low,high,medium,low,low
9584,sara gerald,7,0,F,0,5,4,7,6,6,5,8,6,high,low,high,low,medium,medium,high,high,high,medium,high,high,-0.015,0.002,-0.0,0.0,0.0,0.149,0.021,0.125,-0.109,-0.003,0.01,0.1,0.016,0.0,0.0,0.0,1.0,0.142,0.839,0.73,0.017,0.065,low,low,low,low,low,high,low,high,high,low,low
9597,stephen jones,4,0,M,0,5,3,6,5,5,5,2,5,medium,low,low,low,medium,low,high,medium,medium,medium,low,medium,-0.012,-0.001,-0.0,0.0,0.0,0.097,-0.013,-0.055,-0.08,0.007,-0.018,0.119,0.009,0.0,0.0,0.0,1.0,0.137,0.565,0.823,0.072,0.188,low,low,low,low,low,high,low,medium,high,low,low
9659,rabe janvier,4,0,M,0,6,8,6,3,5,5,3,6,medium,low,low,low,high,high,high,low,medium,medium,low,high,-0.012,-0.001,-0.0,0.0,0.0,0.109,-0.028,-0.043,-0.074,0.007,0.014,0.108,0.01,0.0,0.0,0.0,1.0,0.255,0.394,0.682,0.06,0.128,low,low,low,low,low,high,low,medium,high,low,low
9703,trena collier,3,0,F,0,6,6,2,9,4,4,5,7,low,low,high,low,high,high,low,high,medium,medium,medium,high,-0.018,0.0,-0.0,0.0,0.0,-0.089,0.017,-0.092,-0.137,-0.007,0.014,0.131,0.002,0.0,0.0,0.0,0.649,0.127,0.671,1.0,0.052,0.105,low,low,low,low,low,medium,low,high,high,low,low
9754,edward durizil,4,3,F,0,2,6,7,3,5,8,4,1,medium,low,high,low,low,high,high,low,medium,high,medium,low,-0.015,0.0,-0.0,-0.0,0.0,0.102,-0.031,-0.142,0.215,0.003,-0.034,0.072,0.002,0.0,0.0,0.0,0.475,0.144,0.662,1.0,0.016,0.159,low,low,low,low,low,medium,low,high,high,low,low
9987,latoya kelly,4,0,M,0,4,7,6,1,5,7,2,5,medium,low,low,low,medium,high,high,low,medium,high,low,medium,-0.02,-0.0,-0.0,-0.0,0.0,0.089,-0.038,-0.093,0.163,0.004,-0.014,0.124,0.003,0.0,0.0,0.0,0.547,0.236,0.567,1.0,0.027,0.085,low,low,low,low,low,medium,low,medium,high,low,low
10007,sharkiem adams,6,0,F,0,5,6,6,7,4,6,2,6,high,low,high,low,medium,high,high,high,medium,high,low,high,-0.015,0.0,-0.0,0.0,0.0,0.089,0.031,-0.125,0.156,0.005,0.004,0.099,0.002,0.0,0.0,0.0,0.57,0.198,0.797,1.0,0.033,0.028,low,low,low,low,low,medium,low,high,high,low,low
10235,rafael frazier,9,1,F,0,5,7,9,9,8,8,2,5,high,low,high,low,medium,high,high,high,high,high,low,medium,-0.01,0.001,-0.0,0.0,0.0,0.099,0.025,0.15,0.25,0.004,-0.004,0.041,0.003,0.0,0.0,0.0,0.398,0.101,0.599,1.0,0.016,0.017,low,low,low,low,low,medium,low,medium,high,low,low
10270,kathleen lopez,2,0,M,0,4,7,6,5,4,3,3,5,low,low,low,low,medium,high,high,medium,medium,low,low,medium,-0.011,-0.002,-0.0,-0.0,0.0,0.096,-0.005,-0.094,-0.154,0.011,-0.02,0.073,0.013,0.0,0.0,0.0,0.624,0.035,0.611,1.0,0.071,0.133,low,low,low,low,low,medium,low,medium,high,low,low
10388,mercedes richardson,6,3,M,0,2,7,9,5,6,6,4,6,high,low,low,low,low,high,high,medium,high,high,medium,high,-0.006,-0.002,-0.0,-0.0,0.0,0.088,0.005,0.095,0.153,0.003,0.023,0.037,0.01,0.0,0.0,0.0,0.578,0.031,0.625,1.0,0.017,0.148,low,low,low,low,low,medium,low,medium,high,low,low
10390,adam diaz,4,3,F,0,4,7,3,4,5,4,5,3,medium,low,high,low,medium,high,low,medium,medium,medium,medium,low,-0.007,0.0,-0.0,-0.0,0.0,-0.059,-0.015,-0.022,-0.094,-0.004,-0.017,0.072,0.002,0.0,0.0,0.0,0.631,0.156,0.236,1.0,0.039,0.177,low,low,low,low,low,medium,low,low,high,low,low
10811,michael valente,5,1,F,0,1,8,4,7,5,6,6,7,medium,low,high,low,low,high,medium,high,medium,high,high,high,-0.026,0.0,-0.0,-0.0,0.0,-0.071,0.043,-0.119,0.186,-0.003,0.032,0.14,0.001,0.0,0.0,0.0,0.379,0.233,0.642,1.0,0.015,0.171,low,low,low,low,low,medium,low,medium,high,low,low
10925,john mazmanian,2,3,M,0,2,7,5,4,4,3,3,1,low,low,low,low,low,high,medium,medium,medium,low,low,low,-0.006,-0.001,-0.0,-0.0,0.0,0.014,-0.014,-0.072,-0.118,0.018,-0.018,0.05,0.005,0.0,0.0,0.0,0.123,0.117,0.612,1.0,0.151,0.149,low,low,low,low,low,low,low,medium,high,low,low
10964,terrence brown,4,9,F,0,3,4,4,1,6,5,5,4,medium,high,high,low,low,medium,medium,low,high,medium,medium,medium,0.091,0.0,-0.0,-0.0,0.0,-0.053,-0.028,0.129,-0.118,-0.001,-0.016,0.705,0.002,0.0,0.0,0.0,0.412,0.219,1.0,0.916,0.009,0.121,high,low,low,low,low,medium,low,high,high,low,low
10969,eric sparks,3,2,M,0,5,5,5,7,3,5,3,5,low,low,low,low,medium,medium,medium,high,low,medium,low,medium,-0.013,-0.0,-0.0,0.0,0.0,0.018,0.028,-0.093,-0.086,0.015,-0.007,0.143,0.004,0.0,0.0,0.0,0.192,0.304,1.0,0.92,0.16,0.074,low,low,low,low,low,low,low,high,high,low,low
10992,alexander vega,6,0,M,0,6,5,7,7,6,6,3,7,high,low,low,low,high,medium,high,high,high,high,low,high,-0.011,-0.001,-0.0,0.0,0.0,0.068,0.036,0.081,0.151,0.003,0.032,0.072,0.009,0.0,0.0,0.0,0.446,0.24,0.534,1.0,0.022,0.214,low,low,low,low,low,medium,low,medium,high,low,low
